date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:51	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.346.delayed	(from http://hireanhacker.com/image-post-format/)
23:33:51	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.347.delayed	(from http://hireanhacker.com/image-post-format/)
23:33:52	765/765	---MC-	200	added ('OK')	application/rss+xml	etag:%22f072f11af23567c45527ae22e794d73b%22	http://hireanhacker.com/image-post-format/feed/	G:/hire%20an%20hacker/hireanhacker.com/image-post-format/feed/index.html	(from http://hireanhacker.com/image-post-format/)
23:33:52	2532/2532	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2017:33:31%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Fimage-post-format%2F&format=xml	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed5c80	(from http://hireanhacker.com/image-post-format/)
23:33:52	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:33%20GMT	http://hireanhacker.com/image-post-format/?share=facebook	G:/hire%20an%20hacker/hireanhacker.com/image-post-format/index5a58.html	(from http://hireanhacker.com/image-post-format/)
23:33:53	492/492	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Sep%202018%2017:33:33%20GMT	http://pinterest.com/pin/create/button/?url=http://hireanhacker.com/image-post-format/&media=http://hireanhacker.com/wp-content/uploads/2016/06/photo-1443890484047-5eaa67d1d630.jpg	G:/hire%20an%20hacker/pinterest.com/pin/create/button/index2b2e.html	(from http://hireanhacker.com/image-post-format/)
23:33:53	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:33%20GMT	http://hireanhacker.com/image-post-format/?share=google-plus-1	G:/hire%20an%20hacker/hireanhacker.com/image-post-format/index386f.html	(from http://hireanhacker.com/image-post-format/)
23:33:53	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:33%20GMT	http://hireanhacker.com/image-post-format/?share=twitter	G:/hire%20an%20hacker/hireanhacker.com/image-post-format/index9a7b.html	(from http://hireanhacker.com/image-post-format/)
23:33:53	2380/2380	---MCZ	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2017:33:34%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Faudio-post-2%2F	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed9e60.json	(from http://hireanhacker.com/audio-post-2/)
23:33:54	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.34a.delayed	(from http://hireanhacker.com/audio-post-2/)
